Субъект,Федеральные округа,Экономические районы ОКЭР,Макрорегионы,cartodb_id,name,id,kod_fns,region_geo,region_hist,region_temp,major,wiki
Белгородская область,Центральный федеральный округ,Центрально-Черноземный район,Центрально-Черноземный макрорегион,26,Белгородская область,35,31,"Область расположена в центре Европейской части России, на юго­западе Среднерусской возвышенности. Соседями ее являются: на севере и северо­западе Курская область, на востоке – Воронежская область. На юге область имеет внешнюю границу с Украиной. Область входит в Центрально­Черноземный экономический район.","Белгород, один из древнейших городов России, возник на месте Северского городища, расположенного на меловой горе над Северским Донцом близ устья реки Везелица. Северское городище — селение восточных славян, которые пришли сюда во второй половине первого тысячелетия нашей эры. Первоначальное поселение было разрушено, на его месте в 1593 году была заложена крепость, с которой начинается освоение Белгородского края, ставшего южным рубежом Русского государства. Белгородская оборонительная черта встала на путях частых вторжений крымских татар: по Ногайской дороге (Козлов, Тамбов, Верхний и Нижний Ломов), Кальмиусскому и Изюмскому шляхам (Усерд, Яблонов, Короча). В первой половине 17 века было построено еще 18 городов-крепостей и создано два укрепленных района с системой острожков, валов, рвов и засек. В 1648-1654 годах оборонительная линия от Нижнего Ломова была продолжена до Симбирска.
 В 1727 году была создана Белгородская губерния с населением более миллиона человек, включавшая в себя 34 города, среди которых были Курск, Орел, Брянск, Валуйки. Долгое время экономику Белгородчины определяли мелкие полукустарные предприятия и торговые заведения — здесь добывали мел, вырабатывали известь, кирпич, селитру, воск. Развитие промышленности в Белгородской губернии получило толчок с проведением железных дорог. В годы Великой Отечественной войны территория Белгородской области стала местом ожесточенных боев. 12 июля 1943 под белгородской деревней Прохоровкой состоялось крупнейшее танковое сражение Второй мировой войны.
 Большинство памятников Белгородской области представляют собой остатки оборонных сооружений, также сохранились образцы храмовой и гражданской архитектуры, усадьбы. В 47 км к западу от Белгорода, в бывшей слободе Борисовке (вотчина Б. П. Шереметева, центр иконописи и художественных промыслов), находится церковь Михаила Архангела (1804-1811), интерьер которой интересен мраморным иконостасом 1909 года. Неподалеку от села Головчино, на правом берегу Ворсклы, у старинного села Хотмыжск сохранились остатки одной из самых мощных крепостей (1640) Белгородской засечной черты (рвы и валы, в центре — одноглавая церковь эпохи классицизма). В Грайвороне можно встретить образцы «земской» архитектуры второй половины 19 — начала 20 века: мужская и женская гимназии, бывшее земство с богатым декором из неоштукатуренного кирпича, особняк с башенкой-эркером и элементами в стиле модерн (ныне — детский ревматологический санаторий). Близ города Валуйки, на реке Оскол сохранились постройки Успенского Никольского монастыря (начало 17 в.) и подземного монастыря в меловой горе.
 26 апреля 1995 года был основан военно-исторический музей-заповедник «Прохоровское поле». Заповедник включает в себя места, где проходили события Прохоровского сражения. В Прохоровке и селе Яковлево были открыты храм святых Петра и Павла, памятник Победы на Прохоровском поле — Звонница, музей Прохоровского танкового сражения.",Средняя температура января: -8°С; Средняя температура июля: +20°С (Белгород).,Белгород,https://ru.wikipedia.org/wiki/Белгородская_область
Брянская область,Центральный федеральный округ,Центральный район,Центральный макрорегион,27,Брянская область,36,32,"Область расположена в центре Европейской части России, в западной части Русской равнины и занимает пограничное положение на стыке трех государств – России, Украины и Белоруссии. На севере соседями Брянской области являются Смоленская и Калужская области, на востоке – Орловская область, на юго-востоке область граничит с Курской областью.","История Брянщины восходит к концу 10 века, когда киевский князь Владимир, чтобы подчинить себе племена вятичей, «нача ставити городы по Десне и по Востри, и по Трубежеви и по Суле, и по Стугне». Тогда был заложен и город- Брянск, который сыграл важную роль в распространении христианства. В конце 11 века территория по верхней Десне отошла к Черниговскому княжеству, а в 1147 году его завоевал изгнанный из Киева князь Святослав Ольгович. После этого Брянск целое столетие не упоминался в летописях. Татаро-монгольское нашествие не затронуло Брянский край. После разгрома татарами Чернигова и смерти черниговского князя Михаила, его сын Роман переехал в Брянск и основал в нем княжеский престол. В 1290-х годах князь Роман был убит, а в начале 14 века Брянск был разорен татарами и попал под власть Великого княжества Литовского. Лишь в 1500 году Брянск был возвращен Руси, и его жители присягнули на верность Москве.
 После Смутного времени возрастает значение Брянского края как пограничной области. Развитие судоходства по Десне способствовало экономическому развитию региона. Большая часть территории современной Брянской области долгое время входила в состав Орловского наместничества, а затем Орловской губернии. Брянская область в ее теперешних границах была образована 5 июля 1944 года, после освобождения от немецкой оккупации. С Брянской землей связаны имена героя Куликовской битвы Александра Пересвета, исполнительницы романсов А. Д. Вяльцевой, кинорежиссеров Г. Л. Рошаля и С. Самсонова (уроженцы Новозыбкова).",Средняя температура января: -8°С; Средняя температура июля: +18°С (Брянская).,Брянск,https://ru.wikipedia.org/wiki/Брянская_область
Владимирская область,Центральный федеральный округ,Центральный район,Центральный макрорегион,22,Владимирская область,37,33,"Область расположена в центре Европейской части России и Восточно-Европейской равнины. Занимает часть Окско-Волжского междуречья и лежит по обоим берегам Клязьмы и левому берегу Оки. Область окружена с северо-запада и севера Ярославской и Ивановской областями, на востоке – Нижегородской областью, на юге и юго-западе – Рязанской и Московской областями.","Древнейшая история Владимирской области связана с образованием Ростово-Суздальской земли. Город Владимир, заложенный в 1108 году Владимиром Мономахом на месте уже существовавшего небольшого городка ремесленников и земледельцев, становится центром Владимиро-Суздальского княжества. Как и другие регионы северо-восточной Руси города и села Владимирской области в 1237-1238 годах подверглись Батыеву нашествию. Были уничтожены многие памятники прошлых веков, расхищены сокровищницы князей. Но владимирский престол сохранял значение главного на северо-востоке Руси. Князья стремились получить от хана Золотой Орды ярлык на владимирское княжение. Так, Александр Невский оспаривал право на княжение во Владимире у своего брата Андрея.
 Культура Владимирского княжества оставила глубокий след в истории всей Северо-Восточной Руси, владимирская архитектурная школа оказала серьезное влияние на каменное зодчество Москвы и других русских городов. К 14 веку после выдвижения Москвы в качестве центра русского государства, города Владимирской земли теряют свое политическое значение. Владимирская губерния образована в 1796 году, в нее вошло 14 уездов. Во Владимирскую губернию входили Иваново-Вознесенск (ныне Иваново) и Орехово-Зуево (в настоящее время входит в Московскую область). С 17 века на Владимирщине развивается текстильное производство (мануфактуры в Иваново-Вознесенске, Шуе, Вязниках, Муроме). В Меленковском уезде действовали железоделательные заводы Боташевых. Во второй половине 18 века были основаны стекольные заводы Мальцовых в Судогодском уезде (ныне Гусь-Хрустальный район). Большинство промышленных предприятий размещалось не в городах, а в селах и слободах. В 19 веке Владимирская губерния становится одним из центров текстильного производства, здесь вырабатывалась треть хлопчатобумажных тканей, производимых в России. Большое распространение получили в губернии кустарные промыслы. Ведущее значение имело ткачество. С конца 17 века известен иконописный промысел (Шуя, Палех, Мстера). Всероссийскую славу получили владимирские и суздальские каменщики, покровские и гороховецкие плотники.
 В 1929 году после ликвидации Владимирской губернии ее территории находились в составе трех областей: Ивановской, Горьковской и Московской. 14 августа 1944 года была создана Владимирская область в ее нынешних границах. Владимирская область с ее старинными русскими городами и селами притягивает российских и иностранных туристов. Суздаль, Юрьев-Польской, Ковров, Муром, Гороховец, Гусь-Хрустальный, Александров, Мстера — традиционные центры российского туризма.",Средняя температура января: -11°С; Средняя температура июля: +18°С (Владимирская).,Владимир,https://ru.wikipedia.org/wiki/Владимирская_область
Воронежская область,Центральный федеральный округ,Центрально-Черноземный район,Центрально-Черноземный макрорегион,16,Воронежская область,40,36,"Область расположена в центре европейской части России и занимает положение между промышленным центром России и югом страны. На севере область граничит с Тамбовской и Липецкой областями, на западе – с Курской и Белгородской областями, на юге имеет административную границу с Ростовской областью и внешнюю границу – с Украиной. На востоке соседями ее являются Волгоградская и Саратовская области.","Территория Воронежской области была заселена человеком в эпоху палеолита. Примерно 30 тысяч лет тому назад появились древнейшие поселения в районе села Костенки, на правом берегу Дона, в Хохольском районе Воронежской области. В конце первого тысялелетия до наней эры в степном Придонье жили ираноязычные скифо-сарматские племена. В 9 веке здесь появились восточные славяне. Свержение монголо-татарского ига и образование Российского централизованного государства в конце 15 века создали предпосылки для освоения русскими Воронежского края. В течение 16 века он был включен в состав Русского государства. Под защитой крепости Воронеж в конце 16 — начале 17 века возникли села Айдарово, Березово, Боровое, Животинное, Рамонь, Репное, Чертовицкое, Ямное. В 1615 году в новом Воронежском уезде существовало 59 поселений. Примечательной страницей в истории Воронежского края стало строительство здесь по решению Петра I русского военного флота. В 1711 году Воронеж становится губернским городом, административным центром Азовской губернии. В 1725 году губерния получает название Воронежской. В 1860-1870-х годах через территорию губернии были проложены железные дороги. В 19 веке были построены крупные промышленные предприятия, главным образом, в Воронеже (Воронежские железнодорожные мастерские — в 1868, завод Столля — в 1869).",Средняя температура января: -9°С; Средняя температура июля: +20°С (Воронеж).,Воронеж,https://ru.wikipedia.org/wiki/Воронежская_область
Ивановская область,Центральный федеральный округ,Центральный район,Центральный макрорегион,57,Ивановская область,41,37,"Область расположена в центре Европейской части России, на Восточно-Европейской равнине, в междуречье Волги и Клязьмы. На севере область граничит с Костромской областью, на востоке – с Нижегородской областью. На юге имеет общую границу с Владимирской областью, на западе – с Ярославской областью.","Первое упоминание об Иванове относится к 1561 году и по преданию связано с именем Ивана Грозного. Именно в этом году Иван Грозный пожаловал своей родне - князьям Темрюковичам-Черкасским. Но документ о ""пожаловании"" села не был опубликован ни тогда, ни позднее, и неизвестно существовал ли он. Судя по результатам археологических раскопок, поселение возникло задолго до ХVI в. Действительно достоверные сведения о селе относятся к началу ХVII в., ко времени крестьянской войны и польско-шведской интервенции. Иваново стало центром феодальной вотчины. Владельцы села в 1579 г. построили возле него мужской Покровский монастырь (на месте нынешнего Дворца искусств). Рядом с монастырем стали селиться крестьяне, и возникла монастырская слобода Притыкино (ныне ул. Крутицкая). Крестьяне села Иваново занимались хлебопашеством, ремеслом, торговлей.
  В ХVII в. Иваново становится центром холщевого промысла. Изготовляли холст с помощью ручного ткацкого станка, а пряли лен крестьяне в деревнях при помощи веретена и прялки. Холсты отбеливали по берегам реки Уводь. В конце этого столетия возникает набойный промысел на холсты стали наносить рисунок. В селе Дунилово процветал скорняжный промысел. Здесь было 37 лавок, 40 навесов, 16 полков, 4 кузницы. Оживленно развивалась торговля и в Кинешме.
  В первой половине ХVIII века село превратилось в крупное промысловое и торговое село. В 1705 году по указу Петра Первого в Иванове была учреждена таможенная изба для сбора в казну различных пошлин с торговли. В 1743 году село, долгое время, принадлежащее князьям Черкасским, перешло к графу П.Б. Шереметеву.
 В период войны 1812 года население области принимало активное участие в деятельности ополчения. В селе Егорьеве Ивановского района находится могила героя войны 1812 г. генерала Е.И. Властова.
  Ивановский край издревле являлся одним из центров ткачества и переработки льна в России. Уже в первой трети XIX в. за Ивановом и окружающими его селами и деревнями, за уездными городами Шуей и Кинешмой прочно закрепляется репутация текстильного края. Край производил большую часть хлопчатобумажной продукции России, его сравнивали с Англией, в то время славившейся своим текстилем (Иваново - с Манчестером, Шую - с Ливерпулем). На крупнейших ярмарках заводится «особенный ряд», названный ивановским. 
  К концу прошлого века, как результат бурного развития промышленности после освобождения крестьян в 1861 г., в России сложился целый ряд крупных экономических районов. Одним из них был Иваново-Вознесенский промышленный район, охватывающий северные индустриальные уезды Владимирской губернии и южные индустриальные уезды Костромской губернии. Этот фабричный край был разделен прямо по своей середине административной границей между Владимирской (Шуйский уезд) и Костромской (Кинешемский и Юрьевецкий уезды) губерниями. Граница эта возникла еще в 1778 г., когда в период царствования Екатерины II было установлено новое деление Российской империи на губернии. Она просуществовала 140 лет - с 1778 по 1918 г.
  В 1871 году село Иваново и посад Вознесенский получили статус безуездного города под названием Иваново-Вознесенск. В момент образования в нём насчитывалось 48 фабрик и заводов, на которых работало свыше 10 тысяч рабочих.
  В 1871 году в общем количестве предприятий, расположенных в Ивановском районе, текстильные составляли 18 процентов, но они концентрировали более 80 процентов рабочих и давали почти 90 процентов промышленной продукции. Значительная часть остальных предприятий была тесно связана с основной, текстильной отраслью: они производили оборудование, красители и другую продукцию, необходимую для производства тканей.
  За период 1867-1913 гг. в текстильной промышленности края произошло сокращение числа предприятий с 357 до 243. Одновременно количество занятых на них рабочих возросло с 62 тысяч до 260 тысяч, или более чем в 4 раза. Росту крупной промышленности способствовало широкое применение паровых машин. Первые паровые двигатели появились в Иванове в 1832 году, в Шуе - в 1846-м.
  Процесс концентрации промышленности и применение паровых двигателей способствовали образованию и укрупнению промышпенных центров. К 1879 году такими центрами в Ивановском крае были города Иваново-Вознесенск (49 предприятий), Шуя (38), Кинешма (4), села Тейково (4), Кохма (9), Яковлевское (5), Родники (4) и ряд других, предприятия которых были тесно связаны с текстильными фабриками Иваново-Вознесенска.
  Развитию текстильной промышленности благоприятствовали и неплохие транспортные условия. Реки Волга, Ока и Кама связывали край с хлебородным юго-востоком, горнорудным Уралом, с центром России, с Балтийским и Каспийским морями.
  В 60-х годах XIX века была построена железная дорога, которая дала Иваново-Вознесенску транспортный выход на Нижний Новгород, Москву, Кинешму. В итоге промышленность края получила еще более широкие возможности для получения сырья и вывоза продукции на рынки сбыта.
  Иваново-Вознесенск быстро рос. Уже к 1900 году в нем было 59 промышленных предприятий, а число рабочих достигло 27 тысяч человек. Развитие хлопчатобумажной, металлообрабатывающей, химической, машиностроительной промышленности сделало Иваново-Вознесенск производственным центром крупного текстильного района.
 Вместе с ростом промышленности росло революционное движение. Начиная с 70-х годов XIX века история отмечает всё увеличивающееся количество стачек и забастовок, все более крупные их размеры и всё большую организованность. Так, только в семидесятые годы в Иваново-Вознесенском районе произошло 12 стачек.
  В октябре-ноябре 1917 года произошла всеобщая стачка текстильщиков района, совпавшая по времени с Октябрьской социалистической революцией. Стачка проходила под руководством Иваново-Вознесенской партийной организации, что окончательно предрешило вопрос о центре будущей губернии.
  6-7 декабря 1917 года состоялся представительный съезд Советов, профессиональных союзов, фабрично-заводских комитетов и кооперативов городских и земских самоуправлений всего района. Съезд признал необходимым создание губернии и избрал Иваново-Кинешемский районный Совет рабочих и солдатских депутатов, которому поручил «подготовить материалы к очередному съезду как по вопросу образования новой губернии, так и по вопросу организации власти этой новой губериии». Были образованы комиссариаты труда и промышленности с центром в г. Иваново-Вознесенске, распространившие свою деятельность на территорию будущей губернии.
  28-29 января 1918 года состоялся I съезд Советов рабочих и солдатских депутатов Иваново-Кинешемского района. На этом съезде было определено ядро будущей губернии, перечислены уезды, которые предполагалось включить в ее состав, и согласовано название - Иваново-Кинешемская. Второй съезд Советов Иваново-Кинешемского района объявил себя губернским учредительным съездом. Он образовал специальную комиссию по организации губернии и избрал губернский исполнительный комитет.
  Ядром губернии стали те районы и уезды Владимирской и Костромской губерний, на территории которых уже полностью развернули свою работу губернские учреждения: комиссариаты труда, промышленности, продовольствия.
  В середине июня 1918 года в Москву для решения вопроса об организации губернии выехала делегация во главе с М. В. Фрунзе.
  Коллегия комиссариата внутренних дел 18 июня 1918 года приняла предложение ивановцев и постановила образовать Иваново-Вознесенскую губернию с центром в Иваново-Вознесенске.
  В состав вновь образованной губернии перечислялись: 
  от Костромской губернии - Кинешемский и Юрьевецкий уезды полностью и двадцать волостей Нерехтского уезда;
  от Владимирской губернии - Шуйский уезд полностью, девять волостей Суздальского и семь волостей Ковровского уездов.
  Этим актом был административно объединен экономически однородный район с промышленно развитым и сильным центром - городом Иваново-Вознесенском.
 22 июня 1941 года мирную жизнь страны прервало нападение фашистской Германии. Уже в первый день войны в Иванове прошли массовые митинги и собрания, на которых люди клялись не щадить сил и жизни ради защиты Отечества. В городе открылось десять призывных пунктов, но еще до получения повесток многие подавали в военные комиссариаты просьбы об отправке на фронт добровольцами.
  Целый ряд воинских частей, сражавшихся на фронтах Великой Отечественной, с полным правом можно назвать ""ивановскими"" по своему составу. Первой из них была 307-я (впоследствии Новозыбковская) стрелковая дивизия. 14 августа ивановцы торжественно проводили ее на местном стадионе ""Динамо"" (ныне - стадион ""Текстильщик""), а уже 22 августа часть вступила в бои на Брянщине в районе города Стародуба. В начале 1943 года дивизия участвовала в Воронежско-Касторненской операции, летом 1943 года отбивала атаки врага на северном участке Курской дуги, обороняла поселок Поныри.
  332-ю (Иваново-Полоцкую) стрелковую дивизию им. Фрунзе, укомплектованную осенью 1941 года, в октябре направили под Москву. В период нашего наступления в декабре 1941 - январе 1942 годов она продвинулась на запад более, чем на 300 километров, освободив города Андреаполь, Западную Двину и 920 других населенных пунктов. В феврале 1942 года дивизию выдвинули в район города Велиж Смоленской области, где шли тяжелые бои. Неся значительные потери, она освободила город в сентябре 1943 года. В память этих событий одну из улиц Иванова назвали Велижской. Солдаты и офицеры 332-й дивизии сражались в северной Белоруссии в районе города Полоцка. За эти бои часть получила наименование Полоцкой. Свой боевой путь дивизия закончила у города Лиепаи в Латвии.
  117-я стрелковая дивизия, сформированная в декабре 1941 - феврале 1942 годов, была направлена на Калининский фронт. В феврале 1944 года она взламывала оборону противника у города Невель на Псковщине, освобождала Белоруссию. В составе 1-го Белорусского фронта ивановцы взяли польский город Люблин, отличились при форсировании Вислы и дошли до Берлина.
  Ядро 49-й (Рославльской) стрелковой дивизии, формировавшейся в крае в течение 1942 года, составили ополченцы Ивановского рабочего полка имени Фурманова (позднее 222-й полк). Дивизия сражалась в Сталинградской битве на окраине Сталинграда в районе завода ""Баррикады"". Затем были бои на Курской дуге, освобождение Смоленщины. Осенью 1943 года часть прошла по дорогам войны около 200 километров, особенно тяжелыми выдались бои за город Рославль в Смоленской области, в честь которого дивизия и получила свое название. Летом 1944 года она прошла с боями около 700 километров по территории Белоруссии и Литвы. В январе 1945 года 49-я дивизия участвовала в прорыве линии обороны противника южнее Варшавы, форсировала Вислу и Одер, штурмовала сильно укрепленный Франкфурт-на-Одере, а в конце войны ликвидировала фашистскую группировку в районе Берлина.
  В Иванове начинался путь легендарной авиаэскадрильи (затем - авиаполка) ""Нормандия-Неман"". По соглашению между правительством СССР и патриотической организацией ""Сражающаяся Франция"" в конце 1942 года в Советский Союз прибыла группа французских летчиков. Базой для формирования новой части стал аэродром на северной окраине Иванова. Летчикам обеспечили приличные жилищные условия, предоставили 14 самолетов ЯК-1. В 1943 году французы уже воевали бок о бок со своими советскими товарищами по оружию.
  Десятки тысяч ивановцев были награждены орденами и медалями. В. С. Гришанов и В. И. Пипчук стали полными кавалерами всех трех степеней Ордена Славы, который, как и Георгиевский крест в русской армии, вручался за особое мужество на поле боя. 34 ивановца удостоились звания Героя Советского Союза. Среди них танкист Г. П. Александров и летчик С. И. Лазарев, сапер В. И. Веселов и артиллерист М. Я. Дубровин, разведчик И. М. Лобанов и пулеметчик В. П. Антонов.
  Всего за годы Великой Отечественной войны добровольцами и по мобилизации из Иванова ушли на фронт около 70 тысяч человек, из них 27 тысяч не вернулись домой. 
  Оенью 1941 года в период сражения под Москвой фашисты подошли совсем близко к границам Ивановской области. В связи с этим 22 октября в Иванове, как в прифронтовых городах, был создан Городской комитет обороны. Осенью 1941 года вокруг Иванова возникла целая сеть укреплений: доты, дзоты, противотанковые рвы и ""ежи"", лесные завалы. В городе появились многочисленные бомбоубежища на несколько десятков тысяч человек. Во дворах домов сооружались земляные щели и укрытия.
  Уже в первые месяцы войны в область поступали тысячи раненых. Госпиталями стали гостиницы, школы, общежития вузов и техникумов, промышленные предприятия. 6 тысяч юношей и девушек занялись их обустройством. Благодаря таланту врачей и внимательному уходу около 90% раненых из госпиталей возвращались в строй.
  В область прибыло около 100 тысяч беженцев. Еще 8 июля 1941 года для них в Иванове создали эвакуационный пункт с общежитием, столовой и больницей. Усталые, полуголодные люди получали здесь первую медицинскую помощь, жилье.
  Иным стал и облик города. С наступлением темноты окна в домах и на предприятиях плотно занавешивались. Специальные дежурные обходили улицы и строго следили за соблюдением светомаскировки. На улицах стояли ящики с песком на случай бомбардировки зажигательными бомбами. Сотни ивановцев с лопатами направлялись по Лежневскому шоссе строить оборонительные сооружения на подступах к городу. С перебоями работал общественный транспорт, часть трамваев приспособили для перевозки раненых. Не хватало топлива, дома плохо отапливались.
  Враг оккупировал многие основные житницы страны, поэтому возникли серьезные трудности с продовольствием. Особенно тяжелой выдалась первая военная зима. По карточкам выдавались товары первой необходимости: рабочим 600 граммов хлеба в день, так называемым ""иждивенцам"" - 400 граммов, детям - 300 граммов.
  Украина, Белоруссия, Смоленщина, где находились многие текстильные предприятия, оказались под оккупацией, остановились и фабрики блокадного Ленинграда. Поэтому Ивановская область играла особенно важную роль в вещевом снабжении армии. Промышленность перестроилась на военный лад, фабрики стали выпускать вату, марлю, ткани для обмундирования. Швейники шили военную форму и белье, маскировочные халаты и парашюты. Только рабочие Ивановского меланжевого комбината за 1941-1945 годы дали фронту около 100 млн. метров тканей, т. е. одели 12 миллионов бойцов.
  В 1943 году неподалеку от Иванова в бывшей помещичьей усадьбе, живописно расположенной на берегу Харинки, открылся Дом творчества композиторов (прежний в городе Руза Московской области был разрушен во время оккупации). В годы войны в нем отдыхали и работали М. Шостакович, С. Прокофьев, А. Хачатурян, Д. Кабалевский, Т. Хренников, В. Мурадели, Р. Глиэр, Н. Мясковский. Д. Шостакович написал здесь значительную часть 8-й симфонии, С. Прокофьев - 5-ю симфонию, Н. Мясковский - виолончельный концерт.
 В послевоенные годы главной задачей страны было восстановление народного хозяйства основные ресурсы и средства направлялись в те республики, края и области, по которым прошла война. 
  На всем протяжении своей истории Ивановская область оставалась типичным индустриальным образованием. В 1950-е – 1960-е годы бурно развивалось машиностроение и другие отрасли. В конце 1950-х – начале 1960-х годов Иваново являлось центром Верхневолжского совнархоза – крупного регионального экономического объединения на северо-востоке европейской части России.
  Ивановская область – составная часть «Золотого кольца» России, на ее территории сосредоточено множество памятников истории и культуры. Наиболее значительными из них являются небольшой старинный город Плёс на Волге и посёлок Палех – родина всемирно известной русской лаковой миниатюры.
  С ивановской землей связана жизнь и деятельность графов Шереметевых, поэтессы М. Цветаевой, архитекторов братьев Весниных, драматурга А. Н. Островского, путешественника адмирала Г. И. Невельского, художника И. И. Левитана, певца Ф. И. Шаляпина, ученого Н. Н. Бенардоса, отца и сына Тарковских и многих других.",Средняя температура января: -12°С; Средняя температура июля: +17°С (Иваново).,Иваново,https://ru.wikipedia.org/wiki/Ивановская_область
